Price,Close,High,Low,Open,Volume
Ticker,ODFL,ODFL,ODFL,ODFL,ODFL
Date,,,,,
2025-10-29,135.67108154296875,146.49447077028907,133.57815500883643,141.5511852990953,4290600
2025-10-30,136.78729248046875,139.7273441771951,134.38541360390806,135.86043506592023,2762400
2025-10-31,139.9466094970703,140.79375003111096,134.12630115338422,135.94015759968622,2377200
2025-11-03,137.04641723632812,140.02634274519508,134.66447507479276,139.74728790506654,2462700
2025-11-04,140.88343811035156,141.4814214322637,134.75417749381654,136.28897904928115,2588100
2025-11-05,140.30538940429688,142.8866541286498,137.79388078223457,139.9964369355512,2351400
2025-11-06,137.22581481933594,139.94660704478656,136.99659446522966,139.41839502464939,3031300
2025-11-07,139.42835998535156,139.7173908471407,135.45182089309034,136.7275045125812,2065600
2025-11-10,137.2955780029297,139.77718918938677,135.13289533197573,139.43833904717616,1639400
2025-11-11,139.0396728515625,139.5379872316292,135.80062938112903,137.39524148028164,1560300
2025-11-12,138.3819122314453,141.04290925003858,138.22244797682927,138.9699195620751,1487800
2025-11-13,134.99337768554688,139.1592942787798,134.21600838189067,137.54474516496717,1870000
2025-11-14,131.84402465820312,135.22259587147232,131.01683609025844,134.8638240823972,1936200
2025-11-17,129.45211791992188,132.32241381222832,128.93386667106677,131.7044935975879,1991000
2025-11-18,130.2195281982422,132.04336080472302,128.0767670626645,128.76444339709897,2030700
2025-11-19,127.08013916015625,130.5085370277495,126.14330566424611,130.35904879216747,1963600
2025-11-20,125.86425018310547,130.07999328970803,125.58519533986448,127.80768087626095,2257500
2025-11-21,133.82730102539062,136.19928220493733,126.41238104172119,126.90073458084763,3335800
2025-11-24,131.88388061523438,133.59808323376734,131.30583413155722,133.49841427862225,2663200
2025-11-25,133.8771514892578,134.62462310578636,131.8739330316069,131.88389384518163,2066300
2025-11-26,134.4552001953125,135.68104940809474,132.99015458674504,133.00011540048015,1460200
2025-11-28,134.83389282226562,135.92022968452636,133.9468938698602,135.29234872464644,587600
2025-12-01,139.1991424560547,142.78701221345088,135.54151659058758,135.93020121369312,2628400
2025-12-02,140.9831085205078,141.96976124228695,137.49490792385532,139.0297094951494,2293900
