Price,Close,High,Low,Open,Volume
Ticker,ENPH,ENPH,ENPH,ENPH,ENPH
Date,,,,,
2026-01-29,38.25,40.279998779296875,36.779998779296875,40.2599983215332,8241900
2026-01-30,36.97999954223633,38.900001525878906,36.560001373291016,37.869998931884766,4660200
2026-02-02,36.470001220703125,36.970001220703125,35.45000076293945,36.68000030517578,6169000
2026-02-03,37.279998779296875,38.08000183105469,35.939998626708984,36.34000015258789,11415400
2026-02-04,51.66999816894531,52.93000030517578,47.77000045776367,48.0,50002200
2026-02-05,47.27000045776367,52.2400016784668,47.040000915527344,50.619998931884766,11739800
2026-02-06,49.79999923706055,51.5,47.369998931884766,48.619998931884766,11018300
2026-02-09,50.29999923706055,50.880001068115234,47.56999969482422,50.0099983215332,6911900
2026-02-10,50.25,52.2400016784668,48.31999969482422,50.93000030517578,8133600
2026-02-11,48.22999954223633,51.84000015258789,47.16999816894531,51.06999969482422,8035100
2026-02-12,44.13999938964844,48.4900016784668,43.029998779296875,48.02000045776367,8674200
2026-02-13,43.4900016784668,44.869998931884766,43.0,44.209999084472656,4748900
2026-02-17,45.63999938964844,46.16999816894531,43.06999969482422,43.290000915527344,6112500
2026-02-18,46.040000915527344,47.20000076293945,44.68000030517578,46.91999816894531,4736800
2026-02-19,44.25,45.849998474121094,43.61000061035156,45.720001220703125,4829100
2026-02-20,46.560001373291016,46.599998474121094,43.75,43.9900016784668,5731300
2026-02-23,47.400001525878906,47.45000076293945,45.27000045776367,46.0,4425000
2026-02-24,49.7400016784668,49.970001220703125,46.83000183105469,47.40999984741211,5973400
2026-02-25,48.4900016784668,50.83000183105469,48.439998626708984,50.279998779296875,5972500
2026-02-26,45.77000045776367,48.34000015258789,45.54999923706055,47.5099983215332,5023700
2026-02-27,42.27000045776367,45.15999984741211,41.130001068115234,44.93000030517578,6853200
2026-03-02,44.709999084472656,45.72999954223633,41.0099983215332,41.40999984741211,6116600
2026-03-03,43.20000076293945,43.459999084472656,41.779998779296875,42.93000030517578,3581900
2026-03-04,42.65999984741211,43.779998779296875,42.099998474121094,43.36000061035156,3269000
2026-03-05,41.150001525878906,42.66999816894531,40.45000076293945,42.09000015258789,5788800
2026-03-06,40.22999954223633,41.38999938964844,39.5099983215332,40.060001373291016,5982800
2026-03-09,40.86000061035156,41.150001525878906,38.43000030517578,39.54999923706055,6468500
2026-03-10,43.59000015258789,43.84000015258789,41.22999954223633,41.380001068115234,5382100
2026-03-11,43.34000015258789,44.63999938964844,42.93000030517578,43.15999984741211,3518700
2026-03-12,42.599998474121094,42.7599983215332,41.56999969482422,42.7599983215332,3702700
2026-03-13,44.06999969482422,45.529998779296875,43.099998474121094,43.470001220703125,4072100
2026-03-16,45.88999938964844,46.18000030517578,44.7400016784668,44.75,4249100
2026-03-17,44.70000076293945,46.400001525878906,43.90999984741211,46.11000061035156,4528400
2026-03-18,43.279998779296875,44.36000061035156,42.52000045776367,44.11000061035156,4215200
2026-03-19,44.63999938964844,44.880001068115234,41.66999816894531,42.119998931884766,4762100
2026-03-20,44.11000061035156,46.869998931884766,43.43000030517578,44.560001373291016,6996900
2026-03-23,40.7599983215332,44.849998474121094,40.709999084472656,44.70000076293945,5869900
2026-03-24,40.970001220703125,41.540000915527344,40.18000030517578,40.29999923706055,4507000
2026-03-25,42.529998779296875,42.689998626708984,39.90999984741211,40.9900016784668,4790500
2026-03-26,40.18000030517578,42.5,39.97999954223633,41.43000030517578,4239100
2026-03-27,37.84000015258789,39.349998474121094,37.06999969482422,39.349998474121094,6476400
2026-03-30,35.63999938964844,38.33000183105469,35.209999084472656,38.310001373291016,5347100
2026-03-31,37.810001373291016,37.9900016784668,35.959999084472656,36.04999923706055,4668600
2026-04-01,38.279998779296875,38.79999923706055,37.709999084472656,38.22999954223633,4044300
2026-04-02,34.91999816894531,38.45000076293945,34.86000061035156,36.84000015258789,6442000
2026-04-06,33.63999938964844,35.540000915527344,33.29999923706055,35.130001068115234,5857500
2026-04-07,32.040000915527344,33.43000030517578,31.079999923706055,33.2400016784668,8540600
2026-04-08,32.560001373291016,34.20000076293945,32.25,33.9900016784668,6154600
2026-04-09,31.260000228881836,32.630001068115234,30.8700008392334,32.279998779296875,6562800
2026-04-10,31.190000534057617,31.8799991607666,30.899999618530273,31.389999389648438,5660100
2026-04-13,31.3700008392334,32.20000076293945,31.09000015258789,31.709999084472656,4870800
2026-04-14,32.0,32.59000015258789,31.389999389648438,32.029998779296875,5045300
2026-04-15,32.18000030517578,33.869998931884766,31.770000457763672,32.47999954223633,9179800
2026-04-16,31.959999084472656,33.20000076293945,31.139999389648438,32.88999938964844,5782400
2026-04-17,32.47999954223633,33.369998931884766,32.18000030517578,32.61000061035156,7974500
2026-04-20,33.880001068115234,34.310001373291016,31.299999237060547,32.09000015258789,9055600
2026-04-21,33.619998931884766,36.04999923706055,33.459999084472656,34.18000030517578,7178800
2026-04-22,35.36000061035156,35.68000030517578,34.0,34.0,5801900
2026-04-23,36.15999984741211,36.5,34.61000061035156,35.56999969482422,7628700
2026-04-24,35.77000045776367,36.939998626708984,35.060001373291016,36.779998779296875,5217600
2026-04-27,35.2400016784668,36.380001068115234,34.41999816894531,35.56999969482422,4406600
2026-04-28,34.29999923706055,35.40999984741211,34.21500015258789,35.150001525878906,6671060
